ID,Fraction_ID,Envelope_num,Mass,MonoMz,Charge,Intensity,mzLo,mzHi,rtLo,rtHi,color,opacity,promex_score
18,0,6,10089,1122,9,1.94055e+08,1122.02,1123.66,36.685,36.959,#FF0000,0.1,49.8105
18,0,7,10089,1009.9,10,3.61854e+08,1009.9,1011.41,36.625,36.959,#FF0000,0.1,49.8105
18,0,8,10089,918.186,11,5.70784e+08,918.177,919.562,36.625,37.0863,#FF0000,0.1,49.8105
18,0,8,10089,841.755,12,4.95301e+08,841.738,843.024,36.625,37.0332,#FF0000,0.1,49.8105
18,0,7,10089,777.082,13,2.84819e+08,777.059,778.261,36.625,36.959,#FF0000,0.1,49.8105
18,0,6,10089,721.648,14,1.56313e+08,721.619,722.75,36.685,36.959,#FF0000,0.1,49.8105
18,0,1,10089,673.605,15,1.45907e+07,673.572,674.641,36.7878,36.7878,#FF0000,0.1,49.8105
19,0,1,20004.7,770.417,26,1.29512e+08,770.472,771.404,47.3788,47.3788,#FF0000,0.1,-742.857
20,0,12,11782,1684.15,7,2.45566e+08,1684.2,1686.4,53.0568,53.9173,#FF0000,0.1,53.0275
20,0,15,11782,1473.76,8,1.0066e+09,1473.78,1475.74,52.9828,53.9887,#FF0000,0.1,53.0275
20,0,14,11782,1310.12,9,6.26704e+08,1310.13,1311.89,53.0568,53.9887,#FF0000,0.1,53.0275
20,0,12,11782,1179.21,10,5.41052e+08,1179.21,1180.81,53.0568,53.8465,#FF0000,0.1,53.0275
20,0,15,11782,1072.1,11,8.29693e+08,1072.09,1073.57,52.9828,53.9887,#FF0000,0.1,53.0275
20,0,14,11782,982.842,12,9.04889e+08,982.825,984.195,53.0568,53.9887,#FF0000,0.1,53.0275
20,0,15,11782,907.316,13,8.69196e+08,907.293,908.573,52.9828,53.9887,#FF0000,0.1,53.0275
20,0,14,11782,842.58,14,6.37597e+08,842.551,843.754,53.0568,54.0628,#FF0000,0.1,53.0275
20,0,11,11782,786.475,15,3.26093e+08,786.442,787.577,53.1263,53.8465,#FF0000,0.1,53.0275
20,0,7,11782,737.383,16,9.02987e+07,737.346,738.423,53.1263,53.6982,#FF0000,0.1,53.0275
21,0,1,9113.66,1519.95,6,1.46799e+07,1520.02,1522.22,43.7498,43.7498,#FF0000,0.1,47.9981
21,0,16,9113.66,1302.96,7,4.90597e+08,1303,1304.92,43.4773,44.7492,#FF0000,0.1,47.9981
21,0,17,9113.66,1140.21,8,6.7136e+08,1140.24,1141.94,43.5313,44.7492,#FF0000,0.1,47.9981
21,0,11,9113.66,1013.64,9,3.50458e+08,1013.65,1015.18,43.4773,44.6173,#FF0000,0.1,47.9981
21,0,12,9113.66,912.373,10,3.49804e+08,912.374,913.776,43.5313,44.5153,#FF0000,0.1,47.9981
21,0,7,9113.66,829.522,11,1.70867e+08,829.513,830.807,43.5313,43.8982,#FF0000,0.1,47.9981
22,0,1,11205.1,1401.65,8,1.45527e+07,1401.67,1403.63,39.6753,39.6753,#FF0000,0.1,37.4053
22,0,5,11205.1,1246.02,9,1.19206e+08,1246.03,1247.79,39.588,39.787,#FF0000,0.1,37.4053
22,0,4,11205.1,1121.52,10,1.34411e+08,1121.52,1123.12,39.6305,39.787,#FF0000,0.1,37.4053
22,0,5,11205.1,1019.66,11,2.28873e+08,1019.65,1021.12,39.6305,39.9263,#FF0000,0.1,37.4053
22,0,6,11205.1,934.769,12,3.52625e+08,934.752,936.122,39.588,40.0003,#FF0000,0.1,37.4053
22,0,10,11205.1,862.941,13,6.09616e+08,862.918,864.198,39.5433,40.0003,#FF0000,0.1,37.4053
22,0,8,11205.1,801.374,14,4.79761e+08,801.346,802.548,39.5433,40.1145,#FF0000,0.1,37.4053
22,0,8,11205.1,748.016,15,4.63892e+08,747.983,749.119,39.588,40.065,#FF0000,0.1,37.4053
22,0,9,11205.1,701.328,16,4.00692e+08,701.291,702.368,39.5433,40.065,#FF0000,0.1,37.4053
22,0,6,11205.1,660.133,17,2.90619e+08,660.092,661.117,39.588,39.8317,#FF0000,0.1,37.4053
22,0,5,11205.1,623.515,18,1.65691e+08,623.471,624.45,39.6305,40.0003,#FF0000,0.1,37.4053
22,0,2,11205.1,590.751,19,5.66756e+07,590.704,591.643,39.6305,39.7233,#FF0000,0.1,37.4053
22,0,1,11205.1,561.264,20,8.53135e+06,561.214,562.116,39.6305,39.6305,#FF0000,0.1,37.4053
23,0,8,8095.08,1350.19,6,1.95689e+08,1350.09,1352.29,55.3793,55.8982,#FF0000,0.1,55.5808
23,0,10,8095.08,1157.45,7,6.29947e+08,1157.35,1159.27,55.3793,56.0433,#FF0000,0.1,55.5808
23,0,10,8095.08,1012.89,8,5.45296e+08,1012.79,1014.5,55.3793,56.1915,#FF0000,0.1,55.5808
23,0,9,8095.08,900.461,9,3.00437e+08,900.361,901.897,55.3793,56.0433,#FF0000,0.1,55.5808
23,0,6,8095.08,810.516,10,6.80739e+07,810.416,811.818,55.4533,55.8242,#FF0000,0.1,55.5808
24,0,1,10194.1,680.614,15,1.11363e+08,680.58,681.649,41.2025,41.2025,#FF0000,0.1,-360.326
25,0,5,12761.9,1418.99,9,7.74572e+07,1419.11,1420.87,37.8967,38.4227,#FF0000,0.1,39.7305
25,0,9,12761.9,1277.19,10,1.43454e+08,1277.29,1278.9,37.9412,38.7908,#FF0000,0.1,39.7305
25,0,13,12761.9,1161.18,11,2.58707e+08,1161.26,1162.73,37.8967,38.9417,#FF0000,0.1,39.7305
25,0,18,12761.9,1064.49,12,5.32377e+08,1064.56,1065.93,37.8967,38.9417,#FF0000,0.1,39.7305
25,0,20,12761.9,982.688,13,8.46602e+08,982.742,984.022,37.8967,38.9948,#FF0000,0.1,39.7305
25,0,21,12761.9,912.568,14,1.06512e+09,912.611,913.814,37.8292,38.9948,#FF0000,0.1,39.7305
25,0,22,12761.9,851.797,15,1.25479e+09,851.831,852.967,37.8292,39.0415,#FF0000,0.1,39.7305
25,0,20,12761.9,798.623,16,1.27066e+09,798.648,799.725,37.8292,38.9948,#FF0000,0.1,39.7305
25,0,20,12761.9,751.704,17,1.23003e+09,751.722,752.748,37.8292,38.9417,#FF0000,0.1,39.7305
25,0,21,12761.9,709.999,18,1.06695e+09,710.01,710.99,37.8967,39.0415,#FF0000,0.1,39.7305
25,0,20,12761.9,672.684,19,7.3453e+08,672.689,673.628,37.8967,38.9948,#FF0000,0.1,39.7305
25,0,16,12761.9,639.1,20,4.50578e+08,639.1,640.002,37.8292,38.8842,#FF0000,0.1,39.7305
25,0,10,12761.9,608.715,21,1.98701e+08,608.71,609.578,37.8292,38.7908,#FF0000,0.1,39.7305
26,0,2,15458.8,1190.15,13,4.85146e+07,1190.28,1191.71,43.5775,43.7498,#FF0000,0.1,33.288
26,0,9,15458.8,1105.21,14,2.85393e+08,1105.32,1106.67,43.5313,44.0668,#FF0000,0.1,33.288
26,0,13,15458.8,1031.6,15,6.46105e+08,1031.7,1032.97,43.5313,44.2912,#FF0000,0.1,33.288
26,0,14,15458.8,967.184,16,8.06559e+08,967.272,968.474,43.5313,44.3458,#FF0000,0.1,33.288
26,0,15,15458.8,910.35,17,7.53984e+08,910.427,911.57,43.5313,44.3922,#FF0000,0.1,33.288
26,0,14,15458.8,859.831,18,6.54292e+08,859.898,860.989,43.5313,44.3458,#FF0000,0.1,33.288
26,0,13,15458.8,814.629,19,5.33813e+08,814.688,815.732,43.5313,44.2912,#FF0000,0.1,33.288
26,0,12,15458.8,773.948,20,4.61475e+08,773.999,775.001,43.5313,44.2457,#FF0000,0.1,33.288
26,0,10,15458.8,737.142,21,3.15619e+08,737.185,738.149,43.5313,44.1252,#FF0000,0.1,33.288
26,0,4,15458.8,703.681,22,8.9099e+07,703.718,704.647,43.5775,43.8982,#FF0000,0.1,33.288
27,0,6,14043.4,1561.38,9,1.51122e+08,1561.5,1563.49,41.1285,41.527,#FF0000,0.1,38.6565
27,0,5,14043.4,1405.34,10,1.1242e+08,1405.44,1407.25,41.1285,41.414,#FF0000,0.1,38.6565
27,0,3,14043.4,1277.68,11,8.03373e+07,1277.76,1279.42,41.0542,41.35,#FF0000,0.1,38.6565
27,0,7,14043.4,1171.29,12,2.33518e+08,1171.36,1172.89,40.9253,41.414,#FF0000,0.1,38.6565
27,0,10,14043.4,1081.27,13,4.18303e+08,1081.32,1082.75,40.9253,41.527,#FF0000,0.1,38.6565
27,0,11,14043.4,1004.11,14,5.74009e+08,1004.15,1005.49,40.8512,41.527,#FF0000,0.1,38.6565
27,0,11,14043.4,937.232,15,7.36946e+08,937.266,938.535,40.7978,41.527,#FF0000,0.1,38.6565
27,0,11,14043.4,878.718,16,8.42337e+08,878.743,879.946,40.9253,41.5847,#FF0000,0.1,38.6565
27,0,10,14043.4,827.088,17,8.32919e+08,827.106,828.249,40.9253,41.527,#FF0000,0.1,38.6565
